frame,t,X,Y,Z,u,v,vx,vy,vz,v_total
1,0.0,-32.11870936986301,29.997440379008662,0.22,460.5714,654.3429,51.318165725957236,53.74171967462651,7.067053928571431,74.64361873792218
2,0.033,-30.402590520547943,31.82739388038728,0.451952545,511.9143,630.8286,49.07650152192254,53.03293286003733,6.805687500000003,72.576251981734
3,0.067,-28.801071452054792,33.579427605586396,0.679760365,559.8286,610.4571,47.33476987239574,52.85944706735531,6.525051428571432,71.25502002865976
4,0.1,-27.427795999999997,35.01440960653447,0.890023,600.9143,595.9429,46.09297077737685,53.22126229658046,6.225145714285719,70.68109474739072
5,0.133,-25.75179008219178,37.01235984239571,1.089602545,651.0571,575.6286,45.6869932139693,55.16244698275041,5.8831971428571475,71.8666050031567
6,0.167,-24.215208438356164,39.0025979062167,1.284056365,697.0286,556.4571,46.37108097477388,57.64744650873426,5.555262857142862,74.1914158454896
7,0.2,-22.73593002739726,40.838759684109675,1.4619460000000002,741.2857,540.9714,45.34811969447668,57.15821020071064,5.228730000000006,73.1495220120139
8,0.233,-21.273838575342467,42.62667443650964,1.6291525450000002,785.0286,527.3714,43.59414414318731,54.81524341751226,4.902197142857148,70.20820358993349
9,0.267,-19.675187342465755,44.64169242437379,1.7902523650000004,832.8571,513.0286,42.83454218323082,53.98344727476666,4.574262857142861,69.0647121502778
10,0.3,-18.485269534246576,46.2104234315796,1.935769,868.4571,502.3714,40.63640274167328,51.95717136036974,4.2477300000000024,66.09771625182823
11,0.333,-17.03081895890411,48.01715917169322,2.0706025450000003,911.9714,491.5143,38.24677847552847,49.25888904007028,3.921197142857146,62.48703865803896
12,0.367,-15.779780821917809,49.63769834296584,2.198348365,949.4,482.1143,37.88563743637269,48.568254513600706,3.59326285714286,61.70176989697055
13,0.4,-14.648118849315066,51.10454696258003,2.3114920000000003,983.2571,474.1143,37.2676567243838,46.71009032699721,3.2667300000000026,59.84465139822979
14,0.433,-13.347421698630137,52.72180084066322,2.4139525450000003,1022.1714,466.1143,36.21958152663124,43.378217141414154,2.940197142857146,56.587742202449014
15,0.467,-12.058182520547946,54.257312371528464,2.508344365,1060.7429,459.2571,35.97034657348381,41.54760246356699,2.61226285714286,55.01720658414006
16,0.5,-11.013424657534246,55.31952415554791,2.5891150000000005,1092.0,455.5714,33.61847321547515,38.22614911053667,2.285870142857144,50.95748639278246
17,0.533,-9.874121808219174,56.64977084369305,2.6592025450000003,1126.0857,450.2286,30.698779259571307,33.620911112002304,1.9589869285714263,45.56992804268358
18,0.567,-8.825202575342464,57.87015978217326,2.720240365,1157.4673,445.5523,30.162086842511094,31.31634498941883,1.6309825714285644,43.51005688734252
19,0.6,-7.985551780821918,58.69229650256159,2.7686379999999997,1182.588,443.1908,30.060563269766266,29.850642483704362,1.3040292857142781,42.383945228866516
20,0.6333,-6.920668931506847,59.56779963671934,2.8066464035499994,1214.4472,441.6037,29.575620634725645,27.794323657506922,0.9773562857142849,40.597992423476846
21,0.667,-5.808175999999999,60.69807577817884,2.8340363649999993,1247.7308,438.3051,29.900873931268784,26.625402667615393,0.6495621428571445,40.042430745944024
22,0.7,-4.942213315068494,61.52937327725146,2.8500609999999997,1273.6387,436.1809,29.274803754109303,24.659103090704562,0.32344971428571434,38.277801919614966
23,0.733,-4.002840054794522,62.17795404788044,2.855402545,1301.7429,435.8286,27.886232803023766,20.19991863784975,-0.0030130714285691255,34.433685570946196
24,0.767,-2.9981917808219194,62.82077780560876,2.849732364999999,1331.8,435.8286,27.48184698004075,15.222122314444508,-0.3305969999999984,31.417737276364974
25,0.8,-2.137744164383564,63.33553680281556,2.8333839999999997,1357.5429,436.0857,26.606560214995778,10.82400366703627,-0.6572700000000005,28.731517636754084
26,0.833,-1.2715709041095862,63.535208322269646,2.806352545,1383.4571,438.6857,25.305981313854193,6.241140640339594,-0.9838028571428566,26.082798830097943
27,0.867,-0.4254490958904081,63.66215818076649,2.7673283649999996,1408.7714,441.7143,24.9467419405375,2.6737013235109766,-1.3117371428571443,25.123878413713676
28,0.9,0.3433180273972631,63.70095092371708,2.7186069999999996,1431.7714,445.0286,24.249134906030825,0.4939366989688052,-1.6382700000000048,24.3094312098488
29,0.933,1.2047215890410932,63.721005673078665,2.6592025449999994,1457.5429,448.9143,23.09606538734898,-1.2648184644297404,-1.964802857142856,23.21397106037867
30,0.967,1.9725327671232893,63.66105506030579,2.586824365,1480.5143,452.9714,22.439676878018787,-3.4878872581771283,-2.292737142857136,22.824572274675422
31,1.0,2.6161947397260303,63.449693675994325,2.50573,1499.7714,457.6286,21.58696725941549,-6.508906639957672,-2.619269999999997,22.698537319388258
32,1.033,3.3496286575342498,63.26392372147078,2.413952545000001,1521.7143,462.5429,20.48464583150785,-9.042738540708052,-2.9458028571428585,22.58472026904628
33,1.067,4.0763743013698654,62.88240911920029,2.3082203650000004,1543.4571,469.0286,18.863367661623855,-9.545051350159003,-3.289152857142856,21.395167008752697
34,1.1,4.642684931506852,62.51186663140867,2.1947529999999995,1560.4,474.7429,16.587272808597415,-8.811847154887285,-3.5890585714285663,19.122437369150283
35,1.133,5.1106301369863045,62.29583454004155,2.0706025450000007,1574.4,478.7714,13.592438036124094,-6.720508909790416,-3.869344285714276,15.649007539580108
36,1.167,5.478301369863017,62.16205529344504,1.9315163650000011,1585.4,481.6571,9.87886334420389,-3.2710366148683847,-4.1300099999999835,11.195919082833921
