frame,t,X,Y,u,v
1,0.0,-32.11870936986301,29.997440379008662,460.5714,654.3429
2,0.033,-30.402590520547943,31.82739388038728,511.9143,630.8286
3,0.067,-28.801071452054792,33.579427605586396,559.8286,610.4571
4,0.1,-27.427795999999997,35.01440960653447,600.9143,595.9429
5,0.133,-25.75179008219178,37.01235984239571,651.0571,575.6286
6,0.167,-24.215208438356164,39.0025979062167,697.0286,556.4571
7,0.2,-22.73593002739726,40.838759684109675,741.2857,540.9714
8,0.233,-21.273838575342467,42.62667443650964,785.0286,527.3714
9,0.267,-19.675187342465755,44.64169242437379,832.8571,513.0286
10,0.3,-18.485269534246576,46.2104234315796,868.4571,502.3714
11,0.333,-17.03081895890411,48.01715917169322,911.9714,491.5143
12,0.367,-15.779780821917809,49.63769834296584,949.4,482.1143
13,0.4,-14.648118849315066,51.10454696258003,983.2571,474.1143
14,0.433,-13.347421698630137,52.72180084066322,1022.1714,466.1143
15,0.467,-12.058182520547946,54.257312371528464,1060.7429,459.2571
16,0.5,-11.013424657534246,55.31952415554791,1092.0,455.5714
17,0.533,-9.874121808219174,56.64977084369305,1126.0857,450.2286
18,0.567,-8.825202575342464,57.87015978217326,1157.4673,445.5523
19,0.6,-7.985551780821918,58.69229650256159,1182.588,443.1908
20,0.6333,-6.920668931506847,59.56779963671934,1214.4472,441.6037
21,0.667,-5.808175999999999,60.69807577817884,1247.7308,438.3051
22,0.7,-4.942213315068494,61.52937327725146,1273.6387,436.1809
23,0.733,-4.002840054794522,62.17795404788044,1301.7429,435.8286
24,0.767,-2.9981917808219194,62.82077780560876,1331.8,435.8286
25,0.8,-2.137744164383564,63.33553680281556,1357.5429,436.0857
26,0.833,-1.2715709041095862,63.535208322269646,1383.4571,438.6857
27,0.867,-0.4254490958904081,63.66215818076649,1408.7714,441.7143
28,0.9,0.3433180273972631,63.70095092371708,1431.7714,445.0286
29,0.933,1.2047215890410932,63.721005673078665,1457.5429,448.9143
30,0.967,1.9725327671232893,63.66105506030579,1480.5143,452.9714
31,1.0,2.6161947397260303,63.449693675994325,1499.7714,457.6286
32,1.033,3.3496286575342498,63.26392372147078,1521.7143,462.5429
33,1.067,4.0763743013698654,62.88240911920029,1543.4571,469.0286
34,1.1,4.642684931506852,62.51186663140867,1560.4,474.7429
35,1.133,5.1106301369863045,62.29583454004155,1574.4,478.7714
36,1.167,5.478301369863017,62.16205529344504,1585.4,481.6571
